Title,References,Included,Choper (2011)+S - DeBruyne,Farber (2013)+S - DeBruyne,Barnett (2013)+S - DeBruyne,Stone (2013)+S - DeBruyne,Sullivan (2013)+S - Eichenberger,Varat (2013?)+S - Eichenberger,Chemerinsky (2013)+S -Taylor,Rotunda (2012?)+S -Taylor,Funk -Taylor,Maggs-Taylor,Paulson (2013)+S - DeBruyne,Shanor (2009)+S - DeBruyne,Young-Eichenberger,Massey (2012)+S - DeBruyne,Weaver (2013)+S - DeBruyne,Brettschneider-Eichenberger,Epstein-Walker (Vol 1) (2013)+S - Eichenberger,Epstein-Walker (Vol 2) (2013)+S - Eichenberger,Fisher (Vol 1) 10e (2013) - Taylor,Fisher (Vol 2) 10e (2013) - Taylor,Murphy et al. (2013) - DeBruyne,Gillman et al. Vol 1 (2012) - DeBruyne,Gillman et al. Vol 2 (2012) - DeBruyne,Citation,ID,Date,Category,Issue,Legal Provision
"Chandler v. Florida",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"449 U.S. 560","1980-033","1981-01-26","Criminal Procedure","extra-legal jury influences: miscellaneous","0: 0"
"Charles C. Steward Mach. Co. v. Davis",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"undefined",undefined,undefined,undefined,undefined,undefined
"Cheney v. United States District Court for the District of Columbia",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"542 U.S. 367","2003-082","2004-06-24","Privacy","Freedom of Information Act and related federal or state statutes or regulations","0: 0"
"Chicago, Burlington & Quincy Railroad Co. v. City of Chicago",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"undefined",undefined,undefined,undefined,undefined,undefined
"Child Labor Tax Case",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"undefined",undefined,undefined,undefined,undefined,undefined
"Chimel v. California",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"395 U.S. 752","1968-136","1969-06-23","Criminal Procedure","search and seizure (other than as pertains to vehicles or Crime Control Act)","Constitutional Amendment: Fourth Amendment"
"City of Los Angeles v. Alameda Books, Inc.",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"535 U.S. 425","2001-044","2002-05-13","First Amendment","obscenity, state (cf. comity: privacy): including the regulation of sexually explicit material under the 21st Amendment","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"City of Los Angeles v. Lyons",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"461 U.S. 95","1982-064","1983-04-20","Judicial Power","standing to sue: personal injury","Constitution: Article III, Section 2, Paragraph 1 (case or controversy requirement)"
"City of New York v. Miln",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"33 U.S. 118,36 U.S. 102","1837-016","1837-02-16","Economic Activity","state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)","Constitution: Article I, Section 8, Paragraph 3 (interstate commerce clause)"
"Clark v. Board of School Directors",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"undefined",undefined,undefined,undefined,undefined,undefined
"Cleveland Board of Education v. LaFleur",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"414 U.S. 632","1973-044","1974-01-21","Civil Rights","sex discrimination in employment (cf. sex discrimination)","Constitutional Amendment: Fourteenth Amendment (due process)"
"Clingman v. Beaver",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"544 U.S. 581","2004-048","2005-05-23","First Amendment","First Amendment, miscellaneous (cf. comity: First Amendment)","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"Coalition for Economic Equity v. Wilson",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"undefined",undefined,undefined,undefined,undefined,undefined
"Coates v. Cincinnatti",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"undefined",undefined,undefined,undefined,undefined,undefined
"Cole v. Richardson ",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"397 U.S. 238,405 U.S. 676","1971-089","1972-04-18","First Amendment","loyalty oath: government employees","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"Coleman v. Court of Appeals of Maryland",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"566 U.S. 30","2011-032","2012-03-20","Federalism","national supremacy: marital and family relationships and property, including obligation of child support","Constitutional Amendment: Fourteenth Amendment (enforcement clause) (NA)"
"Collin v. Smith",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"undefined",undefined,undefined,undefined,undefined,undefined
"Commonwealth of Pennsylvania v. Dillon",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"undefined",undefined,undefined,undefined,undefined,undefined
"Commonwealth v. Anthes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"undefined",undefined,undefined,undefined,undefined,undefined
"Commonwealth v. Campbell",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"undefined",undefined,undefined,undefined,undefined,undefined
