Title,References,Included,Choper (2011)+S - DeBruyne,Farber (2013)+S - DeBruyne,Barnett (2013)+S - DeBruyne,Stone (2013)+S - DeBruyne,Sullivan (2013)+S - Eichenberger,Varat (2013?)+S - Eichenberger,Chemerinsky (2013)+S -Taylor,Rotunda (2012?)+S -Taylor,Funk -Taylor,Maggs-Taylor,Paulson (2013)+S - DeBruyne,Shanor (2009)+S - DeBruyne,Young-Eichenberger,Massey (2012)+S - DeBruyne,Weaver (2013)+S - DeBruyne,Brettschneider-Eichenberger,Epstein-Walker (Vol 1) (2013)+S - Eichenberger,Epstein-Walker (Vol 2) (2013)+S - Eichenberger,Fisher (Vol 1) 10e (2013) - Taylor,Fisher (Vol 2) 10e (2013) - Taylor,Murphy et al. (2013) - DeBruyne,Gillman et al. Vol 1 (2012) - DeBruyne,Gillman et al. Vol 2 (2012) - DeBruyne,Citation,ID,Date,Category,Issue,Legal Provision
"Christian Legal Society Chapter v. Martinez",6,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,"561 U.S. 661","2009-090","2010-06-28","First Amendment","free exercise of religion","Constitutional Amendment: First Amendment (free exercise of religion) (NA)"
"DeFunis v. Odegaard",6,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"416 U.S. 312","1973-092","1974-04-23","Civil Rights","affirmative action","Constitution: Article III, Section 2, Paragraph 1 (case or controversy requirement)"
"DeShaney v. Winnebago Dept. of Social Serv.",6,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,"489 U.S. 189","1988-037","1989-02-22","Civil Rights","juveniles (cf. rights of illegitimates)","Constitutional Amendment: Fourteenth Amendment (due process)"
"Erie v. Pap's A.M.",6,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"529 U.S. 277","1999-044","2000-03-29","First Amendment","obscenity, state (cf. comity: privacy): including the regulation of sexually explicit material under the 21st Amendment","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"Federal Communications Commission v. Pacifica Foundation",6,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"438 U.S. 726","1977-157","1978-07-03","First Amendment","First Amendment, miscellaneous (cf. comity: First Amendment)","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"Feiner v. New York",6,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"340 U.S. 315","1950-026","1951-01-15","First Amendment","First Amendment, miscellaneous (cf. comity: First Amendment)","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"Goldwater v. Carter",6,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,"444 U.S. 996",undefined,undefined,undefined,undefined,undefined
"Greece v. Galloway",6,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,"572 U.S. 565","2013-042","2014-05-05","First Amendment","establishment of religion (other than as pertains to parochiaid:)","Constitutional Amendment: First Amendment (establishment of religion) (NA)"
"Hawaii Housing Authority v. Midkiff",6,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,"467 U.S. 229","1983-109","1984-05-30","Due Process","due process: takings clause, or other non-constitutional governmental taking of property","Constitutional Amendment: Fifth Amendment (takings clause)"
"Jones v. Alfred H. Mayer Co.",6,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"392 U.S. 409","1967-181","1968-06-17","Civil Rights","desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)","Federal Statute: Fair Housing"
"Katzenbach v. McClung",6,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"379 U.S. 294","1964-018","1964-12-14","Civil Rights","desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)","Federal Statute: Civil Rights Act of 1964 (Title II)"
"Lorillard Tobacco Co. v. Reilly",6,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"533 U.S. 525","2000-084","2001-06-28","Federalism","federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.","Infrequently litigated statutes: Infrequently litigated statutes (15 U.S.C. § 1334)"
"Marsh v. Alabama",6,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,"326 U.S. 501","1945-118","1946-01-07","First Amendment","free exercise of religion","Constitutional Amendment: First Amendment (free exercise of religion)"
"Massachusetts v. Environmental Protection Agency",6,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,"549 U.S. 497","2006-026","2007-04-02","Judicial Power","standing to sue: personal injury","Constitution: Article III, Section 2, Paragraph 1 (case or controversy requirement)"
"McCutcheon v. Federal Election Commission",6,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"572 U.S. 185","2013-033","2014-04-02","First Amendment","campaign spending (cf. governmental corruption):","Constitutional Amendment: First Amendment (speech, press, and assembly) (NA)"
"Michael H. v. Gerald D.",6,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,"491 U.S. 110","1988-114","1989-06-15","Due Process","due process: miscellaneous (cf. loyalty oath), the residual code","Constitutional Amendment: Fourteenth Amendment (due process)"
"Miller v. Johnson",6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,"515 U.S. 900","1994-092","1995-06-29","Civil Rights","reapportionment: other than plans governed by the Voting Rights Act","Constitutional Amendment: Fourteenth Amendment (equal protection)"
"Mississippi Univ. for Women v. Hogan",6,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"458 U.S. 718","1981-170","1982-07-01","Civil Rights","sex discrimination (excluding sex discrimination in employment)","Constitutional Amendment: Fourteenth Amendment (equal protection)"
"Nebraska Press Ass'n v. Stuart",6,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"427 U.S. 539","1975-166","1976-06-30","First Amendment","First Amendment, miscellaneous (cf. comity: First Amendment)","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"Pacific Gas & Elec. Co. v. State Energy Resources Conservation & Development Comm’n",6,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"461 U.S. 190","1982-067","1983-04-20","Federalism","federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.","Federal Statute: Atomic Energy"
"Palko v. Connecticut ",6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,"302 U.S. 319","1937-036","1937-12-06","Criminal Procedure","double jeopardy","Constitutional Amendment: Fourteenth Amendment (due process)"
"Pierce v. Society of the Sisters of the Holy Names of Jesus & Mary",6,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,"268 U.S. 510","1924-161","1925-06-01","Due Process","due process: miscellaneous (cf. loyalty oath), the residual code","Constitutional Amendment: Fourteenth Amendment (due process)"
"Reed v. Reed",6,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,"404 U.S. 71","1971-014","1971-11-22","Civil Rights","sex discrimination (excluding sex discrimination in employment)","Constitutional Amendment: Fourteenth Amendment (equal protection)"
"Reeves, Inc. v. Stake",6,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"447 U.S. 429","1979-123","1980-06-19","Economic Activity","state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)","Constitution: Article I, Section 8, Paragraph 3 (interstate commerce clause)"
"Reitman v. Mulkey",6,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"387 U.S. 369","1966-111","1967-05-29","Civil Rights","desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)","Constitutional Amendment: Fourteenth Amendment (equal protection)"
"Renton v. Playtime Theatres, Inc.",6,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,"475 U.S. 41","1985-034","1986-02-25","First Amendment","obscenity, state (cf. comity: privacy): including the regulation of sexually explicit material under the 21st Amendment","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"Rosenberger v. Rector and Visitors of the University of Virginia",6,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"515 U.S. 819","1994-091","1995-06-29","First Amendment","establishment of religion (other than as pertains to parochiaid:)","Constitutional Amendment: First Amendment (establishment of religion)"
"Rostker v. Goldberg",6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,"453 U.S. 57","1980-136","1981-06-25","Civil Rights","sex discrimination (excluding sex discrimination in employment)","Federal Statute: Selective Service, Military Selective Service, or Universal Military Service and Training Acts"
"Strauder v. West Virginia",6,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,"100 U.S. 303","1879-097","1880-03-01","Civil Rights","desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)","Constitutional Amendment: Fourteenth Amendment (equal protection)"
"Swann v. Charlotte-Mecklenburg Bd. of Educ.",6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,"402 U.S. 1","1970-082","1971-04-20","Civil Rights","desegregation, schools","0: 0"
"Tinker v. Des Moines School District",6,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,"393 U.S. 503","1968-043","1969-02-24","First Amendment","protest demonstrations (other than as pertains to sit-in demonstrations): demonstrations and other forms of protest based on First Amendment guarantees","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"Vieth v. Jubelirer",6,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"541 U.S. 267","2003-051","2004-04-28","Judicial Power","standing to sue: justiciable question","Constitution: Article I, Section 2, Paragraph 1 (composition of the House of Representatives) (NA)"
"Zablocki v. Redhail",6,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,"434 U.S. 374","1977-029","1978-01-18","Civil Rights","poverty law, constitutional","Constitutional Amendment: Fourteenth Amendment (equal protection)"
"Board of Trustees of Univ. of Ala. v. Garrett",5,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"531 U.S. 356","2000-022","2001-02-21","Federalism","national supremacy: miscellaneous","Constitutional Amendment: Eleventh Amendment"
"Bond v. United States",5,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,"564 U.S. 211","2010-065","2011-06-16","Judicial Power","standing to sue: direct injury","Constitution: Article III, Section 2, Paragraph 1 (case or controversy requirement) (NA)"
"Califano v. Webster",5,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"430 U.S. 313","1976-067","1977-03-21","Civil Rights","sex discrimination (excluding sex discrimination in employment)","Constitutional Amendment: Fifth Amendment (equal protection)"
"Cleveland Bd. of Educ. v. Loudermill",5,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"470 U.S. 532","1984-049","1985-03-19","Due Process","due process: hearing, government employees","Constitutional Amendment: Fourteenth Amendment (due process)"
"Crawford v. Marion County Election Bd.",5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,"553 U.S. 181","2007-035","2008-04-28","Civil Rights","voting","Constitutional Amendment: Fourteenth Amendment (equal protection)"
"Dandridge v. Williams",5,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"397 U.S. 471","1969-073","1970-04-06","Civil Rights","poverty law, constitutional","Federal Statute: Aid to Families with Dependent Children provisions of the Social Security Act, plus amendments"
"Davis v. Bandemer",5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,"478 U.S. 109","1985-143","1986-06-30","Civil Rights","reapportionment: other than plans governed by the Voting Rights Act","Constitutional Amendment: Fourteenth Amendment (equal protection)"
"Ex parte Merryman",5,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,undefined,undefined,undefined,undefined,undefined
"Flagg Bros. Inc. v. Brooks",5,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"436 U.S. 149","1977-083","1978-05-15","Civil Rights","liability, civil rights acts (cf. liability, governmental and liability, nongovernmental; cruel and unusual punishment, non-death penalty)","Constitutional Amendment: Fourteenth Amendment (due process)"
"Flast v. Cohen",5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,"392 U.S. 83","1967-159","1968-06-10","Judicial Power","standing to sue: taxpayer's suit","Constitution: Article III, Section 2, Paragraph 1 (case or controversy requirement)"
"Fletcher v. Peck",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,"10 U.S. 87","1810-027","1810-03-16","Economic Activity","state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)","Constitution: Article I, Section 10, Paragraph 1 (contract clause)"
"Free Enterprise Fund, Inc. v. Public Company Accounting Oversight Board",5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,"561 U.S. 477","2009-088","2010-06-28","Miscellaneous","executive authority vis-a-vis congress or the states","Constitution: Article II, Section 1 (executive power) (NA)"
"Goldberg v. Kelly",5,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"397 U.S. 254","1969-062","1970-03-23","Civil Rights","poverty law, constitutional","Constitutional Amendment: Fourteenth Amendment (due process)"
"Goodridge v. Department of Public Health",5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,undefined,undefined,undefined,undefined,undefined
"Hazelwood School District v. Kuhlmeier",5,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"484 U.S. 260","1987-019","1988-01-13","First Amendment","First Amendment, miscellaneous (cf. comity: First Amendment)","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"Hunt v. Washington State Apple Advertising Commission",5,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"432 U.S. 333","1976-149","1977-06-20","Economic Activity","state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)","Constitution: Article I, Section 8, Paragraph 3 (interstate commerce clause)"
"Hurley v. Irish American Gay, Lesbian and Bisexual Group of Boston (GLIB) ",5,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,"515 U.S. 557","1994-083","1995-06-19","First Amendment","protest demonstrations (other than as pertains to sit-in demonstrations): demonstrations and other forms of protest based on First Amendment guarantees","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"Legal Services Corp. v. Velazquez",5,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"531 U.S. 533","2000-028","2001-02-28","First Amendment","First Amendment, miscellaneous (cf. comity: First Amendment)","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"Locke v. Davey",5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,"540 U.S. 712","2003-035","2004-02-25","First Amendment","parochiaid: government aid to religious schools, or religious requirements in public schools","Constitutional Amendment: First Amendment (free exercise of religion)"
"Minneapolis Star & Tribune Co. v. Minnesota Commissioner of Revenue",5,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"460 U.S. 575","1982-050","1983-03-29","First Amendment","First Amendment, miscellaneous (cf. comity: First Amendment)","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"Morse v. Frederick",5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"551 U.S. 393","2006-068","2007-06-25","First Amendment","protest demonstrations (other than as pertains to sit-in demonstrations): demonstrations and other forms of protest based on First Amendment guarantees","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"Nevada Department of Human Resources v. Hibbs",5,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"538 U.S. 721","2002-057","2003-05-27","Federalism","national supremacy: miscellaneous","Constitutional Amendment: Fourteenth Amendment (enforcement clause)"
"Nguyen v. Immigration & Naturalization Serv.",5,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"533 U.S. 53","2000-070","2001-06-11","Civil Rights","sex discrimination (excluding sex discrimination in employment)","Constitutional Amendment: Fifth Amendment (equal protection)"
"Perry Educ. Ass'n v. Perry Local Educators' Ass'n",5,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"460 U.S. 37","1982-030","1983-02-23","First Amendment","First Amendment, miscellaneous (cf. comity: First Amendment)","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"Personnel Administrator of Massachusetts v. Feeney",5,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"442 U.S. 256","1978-113","1979-06-05","Civil Rights","sex discrimination (excluding sex discrimination in employment)","Constitutional Amendment: Fourteenth Amendment (equal protection)"
"Poe v. Ullman",5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,"367 U.S. 497","1960-130","1961-06-19","Judicial Power","standing to sue: justiciable question","0: 0"
"Santa Fe Independent School Dist. v. Doe",5,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"530 U.S. 290","1999-077","2000-06-19","First Amendment","establishment of religion (other than as pertains to parochiaid:)","Constitutional Amendment: First Amendment (establishment of religion)"
"Schechter Poultry Corp. v. United States",5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,"295 U.S. 495","1934-052","1935-05-27","Economic Activity","federal or state consumer protection: typically under the Truth in Lending; Food, Drug and Cosmetic; and Consumer Protection Credit Acts","Constitution: Article I, Section 8, Paragraph 3 (interstate commerce clause)"
"Southern Pacific Co. v. Arizona",5,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,"325 U.S. 761","1944-162","1945-06-18","Economic Activity","state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)","Constitution: Article I, Section 8, Paragraph 3 (interstate commerce clause)"
"Stanley v. Georgia",5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,"394 U.S. 557","1968-078","1969-04-07","First Amendment","obscenity, state (cf. comity: privacy): including the regulation of sexually explicit material under the 21st Amendment","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"Steward Machine Co. v. Davis",5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,"301 U.S. 548","1936-102","1937-05-24","Federal Taxation","federal taxation of gifts, personal, business, or professional expenses","Infrequently litigated statutes: Infrequently litigated statutes (tax law)"
"U.S. Term Limits, Inc. v. Thornton",10,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,"514 U.S. 779","1994-059","1995-05-22","Federalism","miscellaneous federalism","Constitution: Article I, Section 2, Paragraph 1 (composition of the House of Representatives)"
"Wallace v. Jaffree",5,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,"472 U.S. 38","1984-115","1985-06-04","First Amendment","parochiaid: government aid to religious schools, or religious requirements in public schools","Constitutional Amendment: First Amendment (establishment of religion)"
"Agostini v. Felton",4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,"521 U.S. 203","1996-080","1997-06-23","First Amendment","parochiaid: government aid to religious schools, or religious requirements in public schools","Constitutional Amendment: First Amendment (establishment of religion)"
"Arizona Free Enterprise Club's Freedom Club PAC v. Bennett",4,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"564 U.S. 721","2010-084","2011-06-27","First Amendment","campaign spending (cf. governmental corruption):","Constitutional Amendment: First Amendment (speech, press, and assembly) (NA)"
"Baldwin v. G.A.F. Seelig, Inc.",4,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"294 U.S. 511","1934-160","1935-03-04","Economic Activity","state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)","State or local law or regulation: State or Local Law Regulation"
"Barnes v. Glen Theatre, Inc.",4,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"501 U.S. 560","1990-117","1991-06-21","First Amendment","obscenity, state (cf. comity: privacy): including the regulation of sexually explicit material under the 21st Amendment","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"Bartnicki v. Vopper",4,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"532 U.S. 514","2000-052","2001-05-21","First Amendment","libel, privacy: true and false light invasions of privacy","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"Board of Regents of State Colleges v. Roth",4,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"408 U.S. 564","1971-173","1972-06-29","Due Process","due process: hearing, government employees","Constitutional Amendment: Fourteenth Amendment (due process)"
"Bradwell v. Illinois",4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"83 U.S. 130","1872-153","1873-04-15","Civil Rights","sex discrimination in employment (cf. sex discrimination)","Constitutional Amendment: Fourteenth Amendment (privileges and immunities clause)"
"Brentwood Acadamey v. Tennessee Secondary School Athletic Association",4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"531 U.S. 288","2000-018","2001-02-20","Due Process","due process: miscellaneous (cf. loyalty oath), the residual code","Constitutional Amendment: Fourteenth Amendment (due process)"
"Chisholm v. Georgia",4,"Y",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,"2 U.S. 419","1793-001","1793-02-19","Federalism","national supremacy: commodities","Constitution: Article III, Section 2, Paragraph 2 (original jurisdiction)"
"Connick v. Meyers",4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"461 U.S. 138","1982-065","1983-04-20","First Amendment","First Amendment, miscellaneous (cf. comity: First Amendment)","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"Dolan v. City of Tigard",4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"512 U.S. 374","1993-081","1994-06-24","Due Process","due process: takings clause, or other non-constitutional governmental taking of property","Constitutional Amendment: Fifth Amendment (takings clause)"
"Dun & Bradstreet v. Greenmoss Builders",4,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"472 U.S. 749","1984-142","1985-06-26","First Amendment","libel, defamation: defamation of public officials and public and private persons","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"Edmonson v. Leesville Concrete Co., Inc.",4,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,"500 U.S. 614","1990-094","1991-06-03","Civil Rights","desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)","Constitutional Amendment: Fifth Amendment (equal protection)"
"Ex parte Milligan",4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,"71 U.S. 2","1866-036","1867-01-22","Judicial Power","no merits: dismissed or affirmed for want of jurisdiction (cf. judicial administration: Supreme Court jurisdiction or authority on appeal from federal district courts or courts of appeals)","No Legal Provision: No Legal Provision"
"Exxon Corp. v. Maryland",4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"437 U.S. 117","1977-114","1978-06-14","Economic Activity","state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)","Constitutional Amendment: Fourteenth Amendment (due process)"
"Ferguson v. Skrupa",4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"372 U.S. 726","1962-080","1963-04-22","Economic Activity","state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)","Constitutional Amendment: Fourteenth Amendment (due process)"
"Geduldig v. Aiello",4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"417 U.S. 484","1973-137","1974-06-17","Civil Rights","sex discrimination in employment (cf. sex discrimination)","Constitutional Amendment: Fourteenth Amendment (equal protection)"
"Graham v. Richardson",4,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"403 U.S. 365","1970-134","1971-06-14","Civil Rights","immigration and naturalization: welfare benefits","Constitutional Amendment: Fourteenth Amendment (equal protection)"
"Gregg v. Georgia",4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,"428 U.S. 153","1975-173","1976-07-02","Criminal Procedure","cruel and unusual punishment, death penalty (cf. extra legal jury influence, death penalty)","Constitutional Amendment: Eighth Amendment (cruel and unusual punishment)"
"Hamdan v. Rumsfeld",4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,"548 U.S. 557","2005-086","2006-06-29","Criminal Procedure","habeas corpus","Federal Statute: Universal Code of Military Justice"
"Harris v. McRae",4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"448 U.S. 297","1979-148","1980-06-30","Privacy","abortion: including contraceptives","Federal Statute: Medicaid provisions of the Social Security Act"
"Houston, East & West Texas Ry. v. United States",4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"234 U.S. 342","1913-104","1914-06-08","Judicial Power","judicial review of administrative agency's or administrative official's actions and procedures","No Legal Provision: No Legal Provision"
"Koontz v. St. Johns River Water Management District",4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"570 U.S. 595","2012-074","2013-06-25","Due Process","due process: takings clause, or other non-constitutional governmental taking of property","Constitutional Amendment: Fifth Amendment (takings clause) (NA)"
"Kramer v. Union Free School District No. 15",4,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"395 U.S. 621","1968-129","1969-06-16","Civil Rights","voting","Constitutional Amendment: Fourteenth Amendment (equal protection)"
"Lee v. International Society for Krishna Consciousness, Inc.",4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"505 U.S. 830","1991-116","1992-06-26","First Amendment","First Amendment, miscellaneous (cf. comity: First Amendment)","Constitutional Amendment: First Amendment (speech, press, and assembly)"
