term,docket,usCite,caseTitle,dateArgument,dateRearg,audioExists,advocatesPetitioner,advocatesRespondent,advocatesOther,dateDecision,caseLink
1977,"77-529","437 U.S. 535","Wise v. Lipscomb","1978-04-26","",true,"joseph_werner","james_johnston","peter_buscemi","1978-06-22","https://www.oyez.org/cases/1977/77-529"
1977,"77-453","437 U.S. 556","Eastex, Inc. v. National Labor Relations Board","1978-04-25","",true,"john_abercrombie","richard_allen","","1978-06-22","https://www.oyez.org/cases/1977/77-453"
1977,"77-642","437 U.S. 584","Parker v. Flook","1978-04-25","",true,"lawrence_wallace","dennis_allegretti","","1978-06-22","https://www.oyez.org/cases/1977/77-642"
1977,"76 Orig.","437 U.S. 601","California v. Texas","1978-03-29","",true,"","","jerome_falk,john_hill","1978-06-22","https://www.oyez.org/cases/1977/76_orig"
1977,"77-404","437 U.S. 617","City of Philadelphia v. New Jersey","1978-03-27","",true,"herbert_moore","stephen_skillman","","1978-06-23","https://www.oyez.org/cases/1977/77-404"
1977,"77-836","437 U.S. 634","United States v. John","1978-04-19","",true,"","","bartow_farr,carl_andre,richard_collins","1978-06-23","https://www.oyez.org/cases/1977/77-836"
1977,"77-693","437 U.S. 655","Will v. Calvert Fire Insurance Company","1978-04-19","",true,"milton_freeman","louis_loss","","1978-06-23","https://www.oyez.org/cases/1977/77-693"
1977,"76-1660","437 U.S. 678","Hutto v. Finney","1978-02-21","",true,"garner_taylor","philip_kaplan","","1978-06-23","https://www.oyez.org/cases/1977/76-1660"
1977,"76-1310","438 U.S. 1","Houchins v. KQED Inc.","1977-11-29","",true,"kelvin_booty","william_turner","","1978-06-26","https://www.oyez.org/cases/1977/76-1310"
1977,"76-1572","438 U.S. 41","United States v. Grayson","1978-02-22","",true,"wade_mccree","john_humphrey","","1978-06-26","https://www.oyez.org/cases/1977/76-1572"
1977,"77-262","438 U.S. 59","Duke Power Company v. Carolina Environmental Study Group, Inc.","1978-03-20","",true,"steve_griffith,wade_mccree","william_schultz","unknown_advocate","1978-06-26","https://www.oyez.org/cases/1977/77-262"
1977,"77-444","438 U.S. 104","Penn Central Transportation Company v. New York City","1978-04-17","",true,"daniel_gribbon","leonard_koerner","patricia_wald","1978-06-26","https://www.oyez.org/cases/1977/77-444"
1977,"77-5176","438 U.S. 154","Franks v. Delaware","1978-02-27","",true,"","harrison_turner","donald_huntley","1978-06-26","https://www.oyez.org/cases/1977/77-5176"
1977,"76-1621","438 U.S. 189","McAdams v. McSurely","1978-03-01","",true,"","","frank_easterbrook,morton_stavis","1978-06-26","https://www.oyez.org/cases/1977/76-1621"
1977,"76-1690","438 U.S. 190","Berry v. Doles","","",false,"","","","1978-06-26","https://www.oyez.org/cases/1977/76-1690"
1977,"77-653","438 U.S. 204","Swisher v. Brady","1978-03-29","",true,"george_nilson","peter_smith","","1978-06-26","https://www.oyez.org/cases/1977/77-653"
1977,"77-747","438 U.S. 234","Allied Structural Steel Company v. Spannaus","1978-04-25","",true,"george_christensen","byron_starns","","1978-06-26","https://www.oyez.org/cases/1977/77-747"
1977,"76-1560","438 U.S. 422","United States v. United States Gypsum Company","1978-03-01","",true,"","","donald_mcsweeney,francis_delone,fred_bartlit,friedman_friedman","1978-06-29","https://www.oyez.org/cases/1977/76-1560"
1977,"76-709","438 U.S. 478","Butz v. Economou","1977-11-07","",true,"daniel_friedman","david_buxbaum","","1978-06-29","https://www.oyez.org/cases/1977/76-709"
1977,"77-240","438 U.S. 531","St. Paul Fire & Marine Insurance Company v. Barry","1978-03-27","",true,"sidney_rosdeitcher","leonard_decof","daniel_friedman","1978-06-29","https://www.oyez.org/cases/1977/77-240"
1977,"77-369","438 U.S. 567","Furnco Constr. Corporation v. Waters","1978-04-17","",true,"joel_kaplan","judson_miner","","1978-06-29","https://www.oyez.org/cases/1977/77-369"
1977,"76-6997","438 U.S. 586","Lockett v. Ohio","1978-01-17","",true,"anthony_amsterdam","carl_layman","","1978-07-03","https://www.oyez.org/cases/1977/76-6997"
1977,"76-6513","438 U.S. 637","Bell v. Ohio","1978-01-17","",true,"fred_hoefle","leonard_kirschner","","1978-07-03","https://www.oyez.org/cases/1977/76-6513"
1977,"77-285","438 U.S. 645","California v. United States","1978-03-28","",true,"","stephen_barnett","roderick_walston","1978-07-03","https://www.oyez.org/cases/1977/77-285"
1977,"77-510","438 U.S. 696","United States v. New Mexico","1978-04-24,1978-04-25","",true,"james_moorman","","john_carlson,richard_simms","1978-07-03","https://www.oyez.org/cases/1977/77-510"
1977,"77-528","438 U.S. 726","Federal Communications Commission v. Pacifica Foundation","1978-04-18,1978-04-19","",true,"joseph_marino","harry_plotkin,louis_claiborne","","1978-07-03","https://www.oyez.org/cases/1977/77-528"
1977,"77-1107","438 U.S. 781","Alabama v. Pugh","","",false,"","","","1978-07-03","https://www.oyez.org/cases/1977/77-1107"
1977,"75-1690","442 U.S. 584","Parham v. J. R.","1977-12-06","1978-10-10",true,"douglas_lackey","","john_cromartie","1979-06-20","https://www.oyez.org/cases/1977/75-1690"
1978,"77-1515","439 U.S. 1","Long Island R.R. Company v. Aberdeen & Rockfish Railroad Company","","",false,"","","","1978-10-16","https://www.oyez.org/cases/1978/77-1515"
1978,"78-229","439 U.S. 8","Carey v. Wynn","","",false,"","","","1978-10-16","https://www.oyez.org/cases/1978/78-229"
1978,"78-80","439 U.S. 9","National Labor Relations Board v. Baylor University Medical Center","","",false,"","","","1978-10-30","https://www.oyez.org/cases/1978/78-80"
