[13:42:09] Using gulpfile ~/Sites/lonedissent/gulpfile.js
[13:42:09] Starting 'advocates-all'...
[13:42:09] Starting 'buildAdvocatesAll'...
warning: case Corn Products Refining Company v. Commissioner of Internal Revenue (https://www.oyez.org/cases/1955/20) has no advocates; found speaker "Samuel A. McCain" (samuel_a_mccain) in transcript
warning: case Corn Products Refining Company v. Commissioner of Internal Revenue (https://www.oyez.org/cases/1955/20) has no advocates; found speaker "Charles K. Rice" (charles_k_rice) in transcript
warning: case Hyun v. Landon (https://www.oyez.org/cases/1955/201) has no advocates; found speaker "William B. Murrish" (william_b_murrish) in transcript
warning: case Hyun v. Landon (https://www.oyez.org/cases/1955/201) has no advocates; found speaker "Beatrice Rosenberg" (beatrice_rosenberg) in transcript
warning: case United States v. Twin City Power Company (https://www.oyez.org/cases/1955/21) has no advocates; found speaker "Ralph S. Spritzer" (ralph_s_spritzer) in transcript
warning: case United States v. Twin City Power Company (https://www.oyez.org/cases/1955/21) has no advocates; found speaker "David W. Robinson, II" (david_w_robinson_ii) in transcript
warning: case United States v. Zucca (https://www.oyez.org/cases/1955/213) has no advocates; found speaker "J.F. Bishop" (jf_bishop) in transcript
warning: case United States v. Zucca (https://www.oyez.org/cases/1955/213) has no advocates; found speaker "Orrin G. Judd" (orrin_g_judd) in transcript
warning: case United States v. Zucca (https://www.oyez.org/cases/1955/213) has no advocates; found speaker "Mr. Attorney General" (attorney_general) in transcript
warning: advocate 'Mr. Attorney General' has an unusual last name; refer to case United States v. Zucca (https://www.oyez.org/cases/1955/213)
warning: case Steiner v. Mitchell (https://www.oyez.org/cases/1955/22) has no advocates; found speaker "Cecil Sims" (cecil_sims) in transcript
warning: case Steiner v. Mitchell (https://www.oyez.org/cases/1955/22) has no advocates; found speaker "Bessie Margolin" (bessie_margolin) in transcript
warning: case United Mine Workers of America v. Arkansas Oak Floorings Company (https://www.oyez.org/cases/1955/227) has no advocates; found speaker "Crampton Harris" (crampton_harris) in transcript
warning: case United Mine Workers of America v. Arkansas Oak Floorings Company (https://www.oyez.org/cases/1955/227) has no advocates; found speaker "John L. Pitts" (john_l_pitts) in transcript
warning: case Hatahley v. United States (https://www.oyez.org/cases/1955/231) has no advocates; found speaker "Norman M. Littell" (norman_m_littell) in transcript
warning: case Hatahley v. United States (https://www.oyez.org/cases/1955/231) has no advocates; found speaker "Roger P. Marquis" (roger_p_marquis) in transcript
warning: case Dixie Carriers, Inc. v. United States (https://www.oyez.org/cases/1955/233) has no advocates; found speaker "Nuel D. Belnap" (nuel_d_belnap) in transcript
warning: case Dixie Carriers, Inc. v. United States (https://www.oyez.org/cases/1955/233) has no advocates; found speaker "Daniel M. Friedman" (daniel_m_friedman) in transcript
warning: case Dixie Carriers, Inc. v. United States (https://www.oyez.org/cases/1955/233) has no advocates; found speaker "Samuel R. Howell" (samuel_r_howell) in transcript
warning: case Dixie Carriers, Inc. v. United States (https://www.oyez.org/cases/1955/233) has no advocates; found speaker "John A. Daily" (john_a_daily) in transcript
warning: case Williams v. United States (https://www.oyez.org/cases/1955/24) has no advocates; found speaker "Morton H. Hollander" (morton_h_hollander) in transcript
warning: case Williams v. United States (https://www.oyez.org/cases/1955/24) has no advocates; found speaker "Henry C. Clausen" (henry_c_clausen) in transcript
warning: case Liquid Carbonic Corp. v. United States (https://www.oyez.org/cases/1955/25) has no advocates; found speaker "James F. Dwyer" (james_f_dwyer) in transcript
warning: case Liquid Carbonic Corp. v. United States (https://www.oyez.org/cases/1955/25) has no advocates; found speaker "John F . Davis" (john_f_davis) in transcript
warning: case National Labor Relations Board v. Babcock & Wilcox Company (https://www.oyez.org/cases/1955/250) has no advocates; found speaker "Dominick L. Manoli" (dominick_l_manoli) in transcript
warning: case National Labor Relations Board v. Babcock & Wilcox Company (https://www.oyez.org/cases/1955/250) has no advocates; found speaker "O. B. Fisher" (o_b_fisher) in transcript
warning: case National Labor Relations Board v. Babcock & Wilcox Company (https://www.oyez.org/cases/1955/250) has no advocates; found speaker "Eugene B. Schwartz" (eugene_b_schwartz) in transcript
warning: case National Labor Relations Board v. Babcock & Wilcox Company (https://www.oyez.org/cases/1955/250) has no advocates; found speaker "Karl H. Mueller" (karl_h_mueller) in transcript
warning: case Southern Pacific Company v. Gileo (https://www.oyez.org/cases/1955/257) has no advocates; found speaker "Nathaniel S. Colley" (nathaniel_s_colley) in transcript
warning: case Southern Pacific Company v. Gileo (https://www.oyez.org/cases/1955/257) has no advocates; found speaker "Arthur B. Dunne" (arthur_b_dunne) in transcript
warning: case Southern Pacific Company v. Gileo (https://www.oyez.org/cases/1955/257) has no advocates; found speaker "Clifton Hilderbrand" (clifton_hilderbrand) in transcript
warning: case Southern Pacific Company v. Gileo (https://www.oyez.org/cases/1955/257) has no advocates; found speaker "Thomas C. Perkins" (thomas_c_perkins) in transcript
warning: case United States v. Anderson, Clayton & Company (https://www.oyez.org/cases/1955/26) has no advocates; found speaker "H. Brian Holland" (h_brian_holland) in transcript
warning: case United States v. Anderson, Clayton & Company (https://www.oyez.org/cases/1955/26) has no advocates; found speaker "John C. White" (john_c_white) in transcript
warning: case National Labor Relations Board v. Warren Company, Inc. (https://www.oyez.org/cases/1955/27) has no advocates; found speaker "David P. Findling" (david_p_findling) in transcript
warning: case National Labor Relations Board v. Warren Company, Inc. (https://www.oyez.org/cases/1955/27) has no advocates; found speaker "John Wesley Weekes" (john_wesley_weekes) in transcript
warning: case Mitchell v. Budd (https://www.oyez.org/cases/1955/278) has no advocates; found speaker "Bessie Margolin" (bessie_margolin) in transcript
warning: case Mitchell v. Budd (https://www.oyez.org/cases/1955/278) has no advocates; found speaker "Milton C. Denbo" (milton_c_denbo) in transcript
warning: case Mitchell v. Budd (https://www.oyez.org/cases/1955/278) has no advocates; found speaker "Mark F. Hughes" (mark_f_hughes) in transcript
warning: case Neese v. Southern Railway Company (https://www.oyez.org/cases/1955/28) has no advocates; found speaker "Sidney S. Alderman" (sidney_s_alderman) in transcript
warning: case Neese v. Southern Railway Company (https://www.oyez.org/cases/1955/28) has no advocates; found speaker "Henry Hammer" (henry_hammer) in transcript
warning: case United States v. Ryan (https://www.oyez.org/cases/1955/281) has no advocates; found speaker "Oscar H. Davis" (oscar_h_davis) in transcript
warning: case United States v. Ryan (https://www.oyez.org/cases/1955/281) has no advocates; found speaker "Louis Waldman" (louis_waldman) in transcript
warning: case Schulz v. Pennsylvania Railroad Company (https://www.oyez.org/cases/1955/282) has no advocates; found speaker "Joseph P. Allen" (joseph_p_allen) in transcript
warning: case Schulz v. Pennsylvania Railroad Company (https://www.oyez.org/cases/1955/282) has no advocates; found speaker "Nathan Baker" (nathan_baker) in transcript
warning: case Nukk v. Shaughnessy (https://www.oyez.org/cases/1955/29) has no advocates; found speaker "Gloria Agrin" (gloria_agrin) in transcript
warning: case Nukk v. Shaughnessy (https://www.oyez.org/cases/1955/29) has no advocates; found speaker "Blanch Freedman" (blanch_freedman) in transcript
warning: case Nukk v. Shaughnessy (https://www.oyez.org/cases/1955/29) has no advocates; found speaker "Mr. Attorney General" (attorney_general) in transcript
warning: advocate 'Mr. Attorney General' has an unusual last name; refer to case Nukk v. Shaughnessy (https://www.oyez.org/cases/1955/29)
warning: case Rea v. United States (https://www.oyez.org/cases/1955/30) has no advocates; found speaker "Joseph A. Sommer" (joseph_a_sommer) in transcript
warning: case Rea v. United States (https://www.oyez.org/cases/1955/30) has no advocates; found speaker "Beatrice Rosenberg" (beatrice_rosenberg) in transcript
warning: case Michel v. Louisiana (https://www.oyez.org/cases/1955/32) has no advocates; found speaker "Gerard H. Schreiber" (gerard_h_schreiber) in transcript
warning: case Michel v. Louisiana (https://www.oyez.org/cases/1955/32) has no advocates; found speaker "George H. Fust" (george_h_fust) in transcript
warning: case Michel v. Louisiana (https://www.oyez.org/cases/1955/32) has no advocates; found speaker "Leon D. Hubert, Jr." (leon_d_hubert_jr) in transcript
warning: case Michel v. Louisiana (https://www.oyez.org/cases/1955/32) has no advocates; found speaker "Rudolph F. Becker, Jr." (rudolph_f_becker_jr) in transcript
warning: case Michel v. Louisiana (https://www.oyez.org/cases/1955/32) has no advocates; found speaker "Felicien Y. Lozes" (felicien_y_lozes) in transcript
warning: case Michel v. Louisiana (https://www.oyez.org/cases/1955/32) has no advocates; found speaker "Adrian G. Duplantier" (adrian_g_duplantier) in transcript
warning: case Parr v. United States (https://www.oyez.org/cases/1955/320) has no advocates; found speaker "Everett L. Looney" (everett_l_looney) in transcript
warning: case Parr v. United States (https://www.oyez.org/cases/1955/320) has no advocates; found speaker "Gray Thoron" (gray_thoron) in transcript
warning: case United States ex rel. Darcy v. Handy (https://www.oyez.org/cases/1955/323) has no advocates; found speaker "Frank P. Lawley, Jr." (frank_p_lawley_jr) in transcript
warning: case United States ex rel. Darcy v. Handy (https://www.oyez.org/cases/1955/323) has no advocates; found speaker "Charles J. Margiotti" (charles_j_margiotti) in transcript
warning: case United States ex rel. Darcy v. Handy (https://www.oyez.org/cases/1955/323) has no advocates; found speaker "Frank Lawley, Jr." (frank_lawley_jr) in transcript
